rating,review,name,address
4,"Solid choice for a fancy night out. It's a bit expensive, but that's expected in seaport. Can't really go wrong with anything on the menu. The scallops were cooked perfectly, and the risotto was good but had too much of a mustard flavor for my liking. Â If you are getting soup, I recommend the French onion. It is amazing.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
4,"My boss took me here after a recommendation from a colleague and had a great night. We had the oysters and shrimp cocktail to start and honestly I found the best oysters I had eaten so far in the US. Very fresh, large, and perfect aftertaste.My 2 colleagues had the steak which they rated better than Mooo that we went to the night before. One had the dry aged from Kansas and he said his was top notch. I had the sea bass which was kinda average. I'm not sure what I was expecting but it was nice without blowing anyone away. Great wine pairing from sommelier- and a couple of strong but great old fashioned's to start. Service was quick considering it was rammed. Would recommend highly.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
5,"Made reservations on open table, wasn't crowded at all and got seated immediately. I ordered the lobster bisque soup and teriyaki salmon over rice.. Really good, hot and a lot of flavor. The server was really good, fast and attentive. Great spot to good a good dinner after along day.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
5,"A gem in the seaport! I have been to Ocean Prime numerous times since they opened in the Seaport - they are my go to place! I love their lunch special, my favorite being the salmon teriyaki. For dinner I love their steaks. Great bread basket. Service is stellar. But the desert... oh my. They make the BEST baked Alaska I have ever had! The carrot cake is also a good second choice.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
4,"Have been to Ocean Prime before, just not this location. Same name, same great experience. The surf and turf app is excellent, potatoes could have used some more seasoning, but scallop and short ribs were awesome. Since it was lunch, I took advantage of their lunch 6oz filet with two sides for $35. The lobster bisque was creamy and a little spicy which I enjoyed. Great meal without breaking the bank (for lunch anyway).",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
4,"This restaurant lays in the hot area of Boston seaport. This was my first time hearing of and visiting Ocean Prime, and it's hard to believe this is a chain restaurant, as my experience was fantastic and attention from its staff was perfect. We came here to enjoy my birthday celebration, and with a reservation ahead, we were sat immediately into a large spacious booth. Other parties around us were definitely loud but I enjoyed it as Â festive and prefer this type of atmosphere when dining out. We first ordered a couple cocktails that tasted excellent. Then we ordered the surf & turf appetizer, made of 2 fresh scallops, pulled pork, and mashed potatoes set in a dark flavorful sauce. I also had the twin lobster, both cooked fresh and just at the right texture and flavor. The asparagus that came with it was cooked just right. The fiancÃ© ordered the 16oz boneless ribeye on medium rare heat. It was at a perfect pinkish-red all around. Truffle butter was extra but the combination with the steak was just perfect. We also ordered a clam chowder which was well seasoned and the blend of bacon, potatoes, and clams were enjoyable. We also received a complimentary dessert as part of my birthday, for which I ordered the blueberry cheesecake. We did enjoy it, but could not finish it because of how full we were. Great atmosphere and food overall, and I'd love to come here again for another special occasion.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
3,"We rarely venture out to the Seaport because you know, Boston traffic. But the in-laws picked Ocean Prime for dinner, so there we went. The restaurant itself is quite large, lots of booth seating, very similar to the likes of Capital Grille, Flemings etc. Guess they're all frankly in the same category of upscale chain restaurants. The food is decent but not outstanding in any way. I have had the exact same dish served here in many other restaurants in the past, as the menu is quite standard with very little novelty. The raw oysters were small and did not taste nearly as good as other oysters places in town. The shrimp cocktail was huge and came out in a showy bowl of liquid nitrogen, but was a bit overcooked for me. My miso sea bass was thick and flaky but the flavors did not impress. A very similar version I had a couple weeks later down in Florida blows this one out of the water. The butter cake was too dense and not nearly as good as Mastro's.Our waiter was the most strange part of the meal. I can't exactly call him inattentive because he was there and did everything that needed to be done. However I would never call the service we received friendly, and it was even quite awkward at times. I don't know if that's just his personality or he hated us for some reason but was still trying to be civil...Anyways, at this price caliber, I would definitely go to Island Creek for seafood or Capital Grille for steak over Ocean Prime for better quality of food. If you just need some place nice to take out some clients etc in the area, this would do.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
5,"Let's start with the drinks ! Berries & bubbles was incredible, it's not to strong but after a while the alcohol starts to kick in. It was a great combination with the surf and turf (shrimp and steak.) The steak was cooked just how I wanted, along with the shrimp. Everything was very filling, however I didn't get to enjoy more of the Mac and cheese because I was so full but it was delicious very thick and creamy. Food and drink was just a 10 out 10 forgot the 5 stars. The pricing is a little up there but that should be expected. The waiter was extremely patient and helpful. The restaurant it self had live music, they were awesome and even though it was a busy Friday night, everything seem just right. Make sure you look formal. There's a lot of businesses around so that's where most of them have lunch/dinner with there suits and dresses. Also, do yourself a favor take an Uber or Lyft, there is parking but driving there will not be necessary.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
5,Between my sister and I we have been quite fortunate to have experienced many of the high end steak Resteraunt's in Boston. Last night for my sisters birthday I treated four or is to OCEAN PRIME. Â The lobster bisque was fantastic. The crab cake was average. We had two filet mignon one 6 oz the other 10. My partner in crime got the Kansas City Strip- OMG Â so flavorful! The 4th member got Teriiyaki Salmon- very good. Let it be known that all steak eaters believed the best steak out of all high end steak houses. I must not forget we had the most wonderful waitress originally from Â Galway. Such a professional and a great quick sense of humor. The price for such a perfect meal is NOT for the faint of heart.,Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
3,"Widely popular, and often very crowded and noisy, Ocean primes serves deliciously (expensive) appetizers and entrees of both land and sea creatures. My service/hospitality was poor, which is why I rated it as such.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
4,"The Beehive is my Boston go-to for live jazz, a couple of really good after dinner drinks and great people watching. Â Honestly, it's one of my favorite places in Boston to do this.In the winter, it's cozy, warm, and the perfect place to forget about the snow and just kick back. During the summer, their outdoor seating area (on a brick patio in front of the BCA Cyclorama) is incredible and you get to see why the South End is such a cool neighborhood.It's not necessarily my #1 dinner spot if I'm in the South End, but I love this place. Â If you're looking for a great date place or visiting from out of town, you need to go here. Â Because it's not a stereotypical Boston spot (Irish, historic, or the North End), it won't show up in guide books, but it's a must hit if you're in town!",The Beehive,"541 Tremont St Boston, MA 02116"
5,"After reaching out to numerous friends for my recent weekend trip to Boston several of them told me The Beehive was a must for brunch. If you're a fan of live music, an upbeat atmosphere, and someone who appreciates a new spin on brunch from time to time I'd definitely check this place out.My friends told me it be best to make a reservation since it gets super busy during standard brunching hours and boy were they right. When my friend and I walked in there had to have been about 12 people waiting to request a table with the hostess. I let her know that we had a reservation and we were instantly led to our table. The space itself is massive, with two floors they were probably serving well over a hundred people during the time we were there. They placed us at a table on the main level close to the stage which was really appreciated. When I had made the reservation I let them know we were celebrating a special occasion (catching up with an old friend). I'm happy they accommodated us for it!When it came time to order I wanted to stick with a something unique to the restaurant. I choose it's namesake Beehive X Burger ($19) which came with some unique toppings such as chipotle avocado slaw and bacon jam, along with a side of fries. This was definitely an extremely well made and tasty burger! I was particularly hungry that morning and this hit the spot. This burger also didn't fall apart in my hands after the first bite which is something to be appreciated.Our servers were really great too. They gave us time to look over the menu and made sure to ask us if everything was alright with our dishes half way through our meals. This place claims to be the best brunch in Boston and even though I haven't been everywhere it definitely takes the cake in my book in terms of putting a lively spin on the classic brunch experience.",The Beehive,"541 Tremont St Boston, MA 02116"
3,"The ambiance at The Beehive was amazing - easily 5 stars. This might be my new go-to place for a drink and some live music. It felt very NOLA: jazzy and cool.The service was also good. Our server was so nice, I wish she had stopped by more (mainly for drink refills) but she answered all of our questions and put our order in at lightning speed (literally we ordered and got drinks and food within 15 minutes - crazy!)The only real disappointment was the food. We went for brunch and the menu was fairly limited, but there were still a lot of good-sounding options. I chose the egg shakshuka, which I've never had (let alone heard of) before and wasn't sure what to expect. It was kind of a salsa/polenta dish with poached eggs. Not bad by any means, but not something I'd order again. Unfortunately they ran out of the sausage that goes with it so we got bacon instead and that ended up being a not so great combo.Overall, I will definitely come back to The Beehive for a drink and to just hang out for a while. Their bar scene is far above anywhere I've been in Boston so far, but I may just stick to snacks next time.",The Beehive,"541 Tremont St Boston, MA 02116"
4,"This place is perfect if you're looking to elevate your brunch experience with live jazz music and classy vibes. Â I LOVE the look and feel of this place with its exposed brick walls, charming dÃ©cor and beautiful chandeliers. The live jazz music really adds to the energy and positive vibes during brunch. Â We had the eggs shaksuka, short rib benedict w/fries, salmon cakes with poached eggs & salad, and the poutine with short ribs & poached eggs, along with Bee-linis and iced coffee. The most memorable part was the short rib on the benedict and poutine- super tender and savory! All the food was yummy, though nothing out of the ordinary given the steep prices. The live jazz music experience and the hearty servings do make the price tags forgivable, but this is certainly a place you go to when you want to indulge once in a while. Overall, my friends and I had a great time so I will definitely be back--maybe to give dinner a try!",The Beehive,"541 Tremont St Boston, MA 02116"
4,"My Boston coworkers recommended this and so we went.It was a little loud, but the stage with live music is appealing, and we were disappointed that we ultimately couldn't sit downstairs (the only table was in the line of the drafty door that was opening and closing often) --- after we settled in, it was actually pretty cool.Everything we ordered was yum, so you'll get a good meal.*My most favorite were the ribs.* Â Service isn't particularly quick, so go here with folks you want to socialize with and you will have a grand time!",The Beehive,"541 Tremont St Boston, MA 02116"
4,"The Beehive was the honeycomb to my birthday evening, many thanks to Steven the Host & Michael, the so fun & so fantastic Bartender.8P came around & I headed downstairs to the dim lighted, cozy dining area staged with white linen tablecloths & mahogany furniture, setting off a classy yet funkdafied atmosphere. Its the same menu both in the bar & dining area offering Chicken, Seafood, Steak, Lamb & even Duck.I could only consume Frites & a Salad, yet the wine tastings & multiple birthday glasses of Â wine worked perfectly for me. Ode to wine on the bottom of the Wine Menu a quote reads ""There must always be wine and fellowship, or we are truly lost"" - Ann Fairbairn. Our table was front & center of the stage that enhanced watching the band, Ladies & Gents...The Brad Goff Band! The Violinist was superb as the rhapsody of all the musicians provided a delightful jam session. There is live music every day of the week, check the website for detailed information.Beehive is located in the Arts complex of Boston's South End offering a artistic backdrop of positive vibes, a mixture of cuisine, a vibrant bar scene & wicked musicians. Beehive also offers a Sunday Brunch. All are welcomed, yet the Nomadic & Bohemian spirits will thrive at Beehive.",The Beehive,"541 Tremont St Boston, MA 02116"
3,The Beehive has a wonderful ambiance whether you're dining inside or out. Our waitress was friendly and swift. But I was surprised to have such a mediocre brunch. The shakshuka was a bit runny for me and the Moroccan sausage was dry. We also got the $19 burger (really?) that tasted okay. I've had more flavorful burgers at Five Guys. We did enjoy their potato chip fries. Their drinks are creative - we each got the Viva Tokyo and it had a nice kick. I didâ€‹n't quite get the hype but I'll have to give them another chance with dinner.,The Beehive,"541 Tremont St Boston, MA 02116"
5,"My girlfriend and I came here for our anniversary dinner, ordered scallops over pea mash and the steak with mashed potatoes and asparagus. We absolutely loved it! Cocktails were killer (Bigwig was my fav), staff was friendly, food was DELICIOUS, and the atmosphere was unparalleled. Make sure you set a reservation because this place is poppin' on the weekends. Downstairs bar and dining area is a prime spot for viewing the live jazz bands that play there Friday/Saturday nights. Definitely coming back soon!",The Beehive,"541 Tremont St Boston, MA 02116"
5,"The Boy had family coming to town to visit so we had thought why not take them to a restaurant that offers live music entertainment. The Beehive delivered a superb meal while offering a cool, fun ambiance.To stat we got the Bread N' Butter - warm sourdough served with delightfully addictive sea salt and honey butter. Never have I seen a basket of bread disappear sooner. We also got the Devil Eggs which in addition to being topped with bacon also came with a refreshing carrot slaw. Finally we got the Fall-Off-the-Bone Baby Back Pork Ribs. These were finger-lickin' good! They were sweet and sticky and so damn tender. Highly recommend.For my main dish, I got the Cauliflower-Brussel Sprouts Curry. I saw this being ordered by so many tables around me and after those ribs, I thought I could do without a protein-heavy entree. Did I mention that The Beehive offers a bunch of vegetarian-friendly dishes? Not only are there plenty of offerings, but this curry was BOMB. So much flavor and I loved dipping garlic naan in there or using the naan to grab at the cauliflower and brussels. The Boy and his dad shared a short rib grilled cheese and a burger - each eating half.Despite being full, dessert was obviously ordered anyway. We got a bread pudding and a cheesecake. Cheesecake was very dense (possibly because it's gluten-free) but the bread pudding was on point. The whipped cream was light and fluffy and paired well. The bread pudding wasn't too dense or oversaturated with syrup.Overall, divine meal from The Beehive. Looking forward to trying their highly talked about brunch in the future!",The Beehive,"541 Tremont St Boston, MA 02116"
5,"I've been wanting to come here for brunch for a while now. Sooo glad I did because our waitress Rebecca was fun and personable, the staff were very attentive and friendly and the overall atmosphere was exciting! The food and drinks were delicious... of course! Thank you!! I can't wait to bring all my friends and family!!",The Beehive,"541 Tremont St Boston, MA 02116"
5,Boston is a brunch city and my favorite spot had a two hour wait which didn't compliment my lack of planning and desire to get breakfast at a peak time. I called the beehive and they had open bar seating. Seamus was our server and everything was on point. Delicious food with unique options and a great environment. I'll definitely be back to try dinner and a cocktail!,The Beehive,"541 Tremont St Boston, MA 02116"
3,"3/5 starsHmm, it is strange to me that they would charge us $$ for being late to our reservation like 15 minutes late. We arrived 5 minutes late, which was fine, but we didn't get seated until 20 minutes later...so if they are going to charge us money for being late, i feel like they should pay us money if they are late.Regardless of that reservation policy, the food was good. The service was good. I would've probably given it 3.5-4 stars if it weren't for that reservation policy.Ambiance is OK--pretty loud place. Ordered:1) MIXED SPRING VEGETABLE CURRY, VADOUVAN SPICE, PANEER, GARLIC NAAN - 3.5/5 pretty good. Not very authentic curry, but pretty good vegetarian option.2) DUCK AU POIVRE, MUSTARD JUS, PICKLES, SCHMALTZ FRIED RICE: 4/5 Great dish if you love duck. The duck was well cooked, and the fried rice tasted very asian.3) CRISPY CALAMARI, SHISHITO PEPPERS, AIOLI: 2/5 Boy, over salted!!!",The Beehive,"541 Tremont St Boston, MA 02116"
4,"I have to say, I was a bit put off with this place initially. First, they couldn't seat me until my guest arrived. I get that when it's busy, but at least the upper level was empty. So they invited my to wait at the bar. Ok, but when I was ready to be seated the bartender thought it would be easier to close out my bill with him first. Easier for whom? And $5 for tea!!!On the other hand, it was really good tea, a nice big pot of hot loose black tea. Very nice. And once seated the service was excellent and the food was interesting and delicious. I had the Eggs Shakshuka with Moroccan sausage. Great flavours and a nice size serving. My 200lb athletic son had the Short Ribs eggs benedict which looked challenging even for him.And did I mention the live music? Pretty cool for brunch. Â Overall, even though we got off to a bad start, I really enjoyed the experience. Well worth a try.",The Beehive,"541 Tremont St Boston, MA 02116"
3,"Pretty goodFood was better than I thought it'd beMusic wasn't great, but a live band is always nice",The Beehive,"541 Tremont St Boston, MA 02116"
4,"This was my first time here and I truly loved the experience. Upon entering, we were greeted by friendly and professional hosts and were lead to our table rather quickly. Â We were presented with the a-la-carte menu on NYE and were pleased with the amount of options that were available. Â I ordered the Atlantic Salmon and while the Salmon tasted a little ""off"", the rest of the delicious flavors in the dish made up or it. Â I absolutely loved the ambiance and the music. Â It was a great romantic dinner spot and the music lived up to my expectations. The decor reminded me a bit of Moulin Rouge. Â It was gorgeous! Even the restrooms were gorgeous. Â  I'd love to visit again when they have their regular menu out and would love to stay for a little longer (we stayed for about an hour and a half) next time. Â I'd highly recommend - just make sure you make a reservation!",The Beehive,"541 Tremont St Boston, MA 02116"
3,"The Beehive is an interesting place. Imagine if The Cheesecake Factory met Hard Rock Cafe, with a splash of a hipster vibe. It's not necessarily bad - it's just different. Their cocktails were average. The music was interesting.. Their entrees were pretty solid. Service was friendly, just slow. Overall, it's solid but unspectacular. They're not overtly bad, but it's not a place you would likely ever return to.",The Beehive,"541 Tremont St Boston, MA 02116"
4,"Very cute place in the South End in the heart of Tremont St. It feels like the watering hole for South Enders on the weekend. On weekends they have live jazz playing during brunch. For brunch, I recommend getting the eggs benedict with short ribs, you will leave filling very full. The quiche is a good option if you want something light. My dining partner got the Bloody Mary (as a lot other ppl were doing and he liked it) and I just got coffee which was fine. Service is excellent, our waitress came over several times to see if we wanted anything else or drink refreshments. I've also gotten drinks here at night and service is impeccable even when you take up a spot for several hours.Tip: make a reservation for brunch, may still have wait with one",The Beehive,"541 Tremont St Boston, MA 02116"
5,"A little too much fun the night before and in need of a bit of a hangover cure. This did the trick! We had a great table on the main level and were by the overlooking balcony so we could see and hear the live music. My fellow helper went with a specialty African brunch dish. It was tasty, but a tad too adventurous after over-Imbibing. I swayed snd couldn't decide. Short rib Benedict it was. A nice mix of the hearty, and more special than standard breakfast fare. The fries were super good; the grease I needed.This place had a great vibe and would be great for drinks and I'm sure anytime. A good reco.",The Beehive,"541 Tremont St Boston, MA 02116"
3,"This is a review of the food, not the space itself. Â I've been going to beehive for years and it's a great place for a cocktail. Â It's different from everything else in Boston and a staple so I don't want to take away from that. Â But we finally had dinner here and it was pretty awful. Â We got the special appetizer which the waitress raved about- which was just pieces of bread with some odds and ends. Â Totally not worth the money. Â Then the main entrees came out, 2 looked okay, I honestly didn't ask if they were good because I was focused on mine being a joke. Â For $24 I got noodles floating around in some kind of liquid by the name of noodle paella. Â It resembled something you concoct at home before a big move when you're attempting to clean out the refrigerator and throw some random ingredients together. Â I couldn't eat it with a form because the noodles wouldn't stay and all I would get is onion. Â I ate maybe 4 bites. Â The lamb neck got a similar reception. Â It was what looked like an enormous hunk of meat and nothing else on a plate. Â Then turned out to be all bone and impossible to find meat. Â The decision was made never to order lamb neck again. Â I wish the waitress would have asked how I liked my meal after she picked up my entirely untouched plate but she didn't. Â The bill was astronomically high for the quality and we got charged for a drink we didn't have. Â Overall, dinner will not be had here again but we will be back for drinks and jazz.",The Beehive,"541 Tremont St Boston, MA 02116"
4,"The Beehive is a cool, funky joint with an eclectic vibe where you don't know if you're in an edgy bohemian lounge or an upscale, artsy jazz club.They attract a variety of acts, from slow jazz to fast flamenco and no matter who is on that stage, it's almost a guaranteed good time.I have been here several times but I have to say the real winner is their jazz brunch. Â  The crowd is more casual, the food is better, and the bottomless mimosa's....yes please. Â If you are looking for a hangover cure, I must recommend the short rib poutine. Â  The fries soak up the gravy and the rich flavor of the short ribs make this a savory delight. Â  The chicken fried steak with the biscuits and gravy were also a hit with our struggling crew. Â  Word to the wise...this will not be cheap. Â  Think more like dinner prices than breakfast prices. Â  Â But I've never been disappointed so to me, it's worth it.",The Beehive,"541 Tremont St Boston, MA 02116"
5,"Very nice restaurant. Staff is friendly, professional and fast. Food is delicious I tried fish soup, some Maine oysters and grilled octopus as appetites along with both Monkfish and the sea-bass for main dishes. All was heavenly delicious! Thanks for your service and your delicious food! Number one restaurant in Boston.",Ostra,"1 Charles St S Boston, MA 02116"
4,"M brought me to Ostra to celebrate my birthday before a show at the Opera House. We had a reservation for 5:30, when they begin seating for dinner. M arrived a bit early though so he waited at the bar, for me, but also for them to start seating so don't come early if you're the first reservations of the night.The space is huge and airy with opera ceilings, a lot of white, and giant ocean-themed canvas prints. To be honest, it felt a bit sterile and cold, but hey, we're here for the food.They have an enormous wine list, with a wide range of price points. We selected a nice dry bottle of rose that we really liked. They also bring you bread for the table that I really liked, a nice onion loaf, super soft and warm.We started with the lobster gnochetti with truffle that I loved. Super creamy and rich, with nice sized chunks of lobster and a lot of truffle flavor. For entrees, M had the halibut and I had the monkfish, both were delicious. Our one reservation with the food: it is very, VERY rich, almost too much so (actually too much so for M, on the border for me). Don't get me wrong, butter is delicious, but the flavor of it overwhelmed some of the other flavors for us. Ostra is very expensive for the portion sizes but it's a delicious indulgence that I'd be happy to repeat. That said, I go out for exorbitant dinners rarely enough that it will probably be a while before I'm back at Ostra.",Ostra,"1 Charles St S Boston, MA 02116"
5,"Let's see: we split Sea Bass Tartare, Jamon Plate, octopus, King crab tortellini. Then he had Sea Bream and I had Salmon. Absolutely delightful meal and not the least bit heavy. I am leaving full and satiated but not rolling out over stuffed. Courses were timed perfectly. Service was impeccable. May very well be my new favorite. If you have not yet been to Ostra, you are missing out. The food is beautiful, creative, delicious and light. This chef knows seafood. Our second trip to Ostra, we shared the salt crusted branzino. The preparation and presentation of this whole fish is wonderful. The lemon sauce pour over is the perfect touch. Even after sharing starters of sea bass tartare, a raw fish special, charred octopus and king crab risotto, the branzino AND dessert, we left completely satisfied. Full but not rolling out for a nap. The service (Calvin!) was impeccable, professional yet fun and he picked a great wine for me, picky as I am! The manager recently transferred from L'Andana, brings his attention to detail, and above average knack for hospitality to Ostra. We would visit every week if we lived closer!",Ostra,"1 Charles St S Boston, MA 02116"
5,"If you love seafood, this is the place to be! Seafood on the wall, with your drinks and on your plate. The attention to food and ambiance is impressive. Michelin needs to come and give this place Boston's first star!We arrived a bit too early for our 530p resy. They were still setting up for service but happily sat us at the bar. I started with the oyster martini which was a delicious light version of an oyster shooter. Dinner was flawless from start to finish. Staff were attentive but not overbearing. The warm house bread with it's doughy center was a perfect vehicle for the sweet butter and olive oil with just a touch of sea salt. I'm in New England, so of course I had a half dozen oysters to start. Followed by the crab risotto and Rhode Island calamari. The Jonah crab spuma was delicious topped with chunks of king crab. This risotto was not too rich at all. The calamari was the best I've tasted--crispy tentacles and perfect rings to dip in the lemon garlic aioli and bouillabaisse brodo. Â The monkfish with mushrooms was light, meaty and savory. To end was a delicious blueberry ice cream to commemorate our celebration. We enjoyed the meal without feeling rushed and just in time to catch our show at the Boston Opera. Definitely a winner!",Ostra,"1 Charles St S Boston, MA 02116"
5,"We had an amazing dinner at Ostra. It was a bit pricey, but worth it. I had the 8 oz filet and shared the grilled corn and parmesan truffle fries with my boyfriend. Everything was delicious. For mainly being a seafood restaurant, they cooked the steak perfectly. He had oysters and the breme. He loved both. He wanted to order a second breme. That's how much he liked it. The bread was warm and delicious. The desserts were great as well. He had the hazelnut mousse and I had the berries and rose. The service was impeccable. It was very quick and attentive. Our waiter and busboy did a fantastic job. They got a little busier as the night went on, so the service wasn't as attentive as when we first got there, but that was to be expected since a large party was seated in our section. The servers and chefs paid attention to details, which made a huge difference. For example, the plates were hot, we received warm towels between our first and second courses, the table was cleaned of crumbs before dessert, and the salt and pepper shakers were taken after dinner. I also appreciated how the, who I assumed was the manager but may have been an owner, helped the staff. I saw him setting tables, talking with guests, and serving some dishes. I would definitely recommend this restaurant.",Ostra,"1 Charles St S Boston, MA 02116"
